year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,10,1,1955,2001,-6,2213,2248,-35,B6,65,N554JB,JFK,ABQ,230,1826,20,1,01-10-2013 20:00
2013,10,2,2010,2001,9,2230,2248,-18,B6,65,N607JB,JFK,ABQ,238,1826,20,1,02-10-2013 20:00
2013,10,3,1955,2001,-6,2232,2248,-16,B6,65,N591JB,JFK,ABQ,251,1826,20,1,03-10-2013 20:00
2013,10,4,2017,2001,16,2304,2248,16,B6,65,N662JB,JFK,ABQ,257,1826,20,1,04-10-2013 20:00
2013,10,5,1959,1959,0,2226,2246,-20,B6,65,N580JB,JFK,ABQ,242,1826,19,59,05-10-2013 19:00
2013,10,6,1959,2001,-2,2234,2248,-14,B6,65,N507JB,JFK,ABQ,240,1826,20,1,06-10-2013 20:00
2013,10,7,2002,2001,1,2233,2248,-15,B6,65,N565JB,JFK,ABQ,246,1826,20,1,07-10-2013 20:00
2013,10,8,1957,2001,-4,2216,2248,-32,B6,65,N775JB,JFK,ABQ,233,1826,20,1,08-10-2013 20:00
2013,10,9,1957,2001,-4,2220,2248,-28,B6,65,N554JB,JFK,ABQ,236,1826,20,1,09-10-2013 20:00
2013,10,10,2011,2001,10,2235,2248,-13,B6,65,N594JB,JFK,ABQ,245,1826,20,1,10-10-2013 20:00
2013,10,11,2054,2001,53,2317,2248,29,B6,65,N580JB,JFK,ABQ,237,1826,20,1,11-10-2013 20:00
2013,10,12,1956,1959,-3,2241,2246,-5,B6,65,N630JB,JFK,ABQ,249,1826,19,59,12-10-2013 19:00
2013,10,13,1957,2001,-4,2310,2248,22,B6,65,N524JB,JFK,ABQ,262,1826,20,1,13-10-2013 20:00
2013,10,14,1959,2001,-2,2235,2248,-13,B6,65,N597JB,JFK,ABQ,253,1826,20,1,14-10-2013 20:00
2013,10,15,2146,2001,105,106,2248,138,B6,65,N640JB,JFK,ABQ,277,1826,20,1,15-10-2013 20:00
2013,10,16,1955,2001,-6,2310,2248,22,B6,65,N558JB,JFK,ABQ,271,1826,20,1,16-10-2013 20:00
2013,10,17,2015,2001,14,2314,2248,26,B6,65,N504JB,JFK,ABQ,266,1826,20,1,17-10-2013 20:00
2013,10,18,2001,2001,0,2332,2248,44,B6,65,N635JB,JFK,ABQ,302,1826,20,1,18-10-2013 20:00
2013,10,19,1950,1959,-9,2236,2246,-10,B6,65,N635JB,JFK,ABQ,262,1826,19,59,19-10-2013 19:00
2013,10,20,1958,2001,-3,2243,2248,-5,B6,65,N507JB,JFK,ABQ,257,1826,20,1,20-10-2013 20:00
2013,10,21,1954,2001,-7,2251,2248,3,B6,65,N599JB,JFK,ABQ,256,1826,20,1,21-10-2013 20:00
2013,10,22,2001,2001,0,2246,2248,-2,B6,65,N523JB,JFK,ABQ,262,1826,20,1,22-10-2013 20:00
2013,10,23,1958,2001,-3,2305,2248,17,B6,65,N564JB,JFK,ABQ,259,1826,20,1,23-10-2013 20:00
2013,10,24,2019,2001,18,2252,2248,4,B6,65,N529JB,JFK,ABQ,251,1826,20,1,24-10-2013 20:00
2013,10,25,1959,2001,-2,2229,2248,-19,B6,65,N517JB,JFK,ABQ,245,1826,20,1,25-10-2013 20:00
2013,10,26,1950,1959,-9,2217,2246,-29,B6,65,N594JB,JFK,ABQ,244,1826,19,59,26-10-2013 19:00
2013,10,27,1959,2000,-1,2230,2303,-33,B6,65,N529JB,JFK,ABQ,252,1826,20,0,27-10-2013 20:00
2013,10,28,1954,2000,-6,2249,2303,-14,B6,65,N524JB,JFK,ABQ,275,1826,20,0,28-10-2013 20:00
2013,10,29,1956,2000,-4,2251,2303,-12,B6,65,N607JB,JFK,ABQ,263,1826,20,0,29-10-2013 20:00
2013,10,30,1954,2000,-6,2329,2303,26,B6,65,N594JB,JFK,ABQ,306,1826,20,0,30-10-2013 20:00
2013,10,31,1955,2000,-5,2258,2303,-5,B6,65,N508JB,JFK,ABQ,255,1826,20,0,31-10-2013 20:00
2013,11,1,1950,2000,-10,2226,2303,-37,B6,65,N659JB,JFK,ABQ,253,1826,20,0,01-11-2013 20:00
2013,11,2,1953,2000,-7,2236,2303,-27,B6,65,N597JB,JFK,ABQ,258,1826,20,0,02-11-2013 20:00
2013,11,3,2000,2000,0,2256,2303,-7,B6,65,N658JB,JFK,ABQ,271,1826,20,0,03-11-2013 20:00
2013,11,4,1955,2000,-5,2306,2303,3,B6,65,N598JB,JFK,ABQ,283,1826,20,0,04-11-2013 20:00
2013,11,5,1950,2000,-10,2310,2303,7,B6,65,N593JB,JFK,ABQ,284,1826,20,0,05-11-2013 20:00
2013,11,6,1952,2000,-8,2309,2303,6,B6,65,N661JB,JFK,ABQ,279,1826,20,0,06-11-2013 20:00
2013,11,7,2000,2000,0,2336,2303,33,B6,65,N793JB,JFK,ABQ,280,1826,20,0,07-11-2013 20:00
2013,11,8,1955,2000,-5,2305,2303,2,B6,65,N746JB,JFK,ABQ,270,1826,20,0,08-11-2013 20:00
2013,11,9,1955,2000,-5,2235,2303,-28,B6,65,N588JB,JFK,ABQ,260,1826,20,0,09-11-2013 20:00
2013,11,10,1951,2000,-9,2258,2303,-5,B6,65,N789JB,JFK,ABQ,259,1826,20,0,10-11-2013 20:00
2013,11,11,1954,2000,-6,2241,2303,-22,B6,65,N594JB,JFK,ABQ,265,1826,20,0,11-11-2013 20:00
2013,11,12,1953,2000,-7,2221,2303,-42,B6,65,N634JB,JFK,ABQ,239,1826,20,0,12-11-2013 20:00
2013,11,13,1953,2000,-7,2202,2303,-61,B6,65,N536JB,JFK,ABQ,233,1826,20,0,13-11-2013 20:00
2013,11,14,1955,2000,-5,2234,2303,-29,B6,65,N662JB,JFK,ABQ,259,1826,20,0,14-11-2013 20:00
2013,11,15,1950,2000,-10,2304,2303,1,B6,65,N510JB,JFK,ABQ,281,1826,20,0,15-11-2013 20:00
2013,11,16,2003,2000,3,2305,2303,2,B6,65,N729JB,JFK,ABQ,280,1826,20,0,16-11-2013 20:00
2013,11,17,1953,2000,-7,2250,2303,-13,B6,65,N648JB,JFK,ABQ,275,1826,20,0,17-11-2013 20:00
2013,11,18,1952,2000,-8,2324,2303,21,B6,65,N627JB,JFK,ABQ,263,1826,20,0,18-11-2013 20:00
2013,11,19,1956,2000,-4,2236,2303,-27,B6,65,N662JB,JFK,ABQ,253,1826,20,0,19-11-2013 20:00
2013,11,20,1948,2000,-12,2236,2303,-27,B6,65,N579JB,JFK,ABQ,259,1826,20,0,20-11-2013 20:00
2013,11,21,2017,2000,17,2309,2303,6,B6,65,N537JB,JFK,ABQ,268,1826,20,0,21-11-2013 20:00
2013,11,22,2021,2000,21,2326,2303,23,B6,65,N606JB,JFK,ABQ,274,1826,20,0,22-11-2013 20:00
2013,11,23,1957,2000,-3,2337,2303,34,B6,65,N623JB,JFK,ABQ,299,1826,20,0,23-11-2013 20:00
2013,11,24,2000,2000,0,2252,2303,-11,B6,65,N633JB,JFK,ABQ,263,1826,20,0,24-11-2013 20:00
2013,11,25,2014,2000,14,2300,2303,-3,B6,65,N563JB,JFK,ABQ,263,1826,20,0,25-11-2013 20:00
2013,11,26,1957,2000,-3,2242,2303,-21,B6,65,N608JB,JFK,ABQ,258,1826,20,0,26-11-2013 20:00
2013,11,27,1957,2000,-3,2303,2303,0,B6,65,N630JB,JFK,ABQ,256,1826,20,0,27-11-2013 20:00
2013,11,28,1953,2000,-7,2247,2303,-16,B6,65,N637JB,JFK,ABQ,267,1826,20,0,28-11-2013 20:00
2013,11,29,2025,2000,25,2317,2303,14,B6,65,N606JB,JFK,ABQ,268,1826,20,0,29-11-2013 20:00
2013,11,30,1955,2000,-5,2246,2303,-17,B6,65,N656JB,JFK,ABQ,266,1826,20,0,30-11-2013 20:00
2013,12,1,1956,2000,-4,2227,2303,-36,B6,65,N556JB,JFK,ABQ,250,1826,20,0,01-12-2013 20:00
2013,12,2,1959,2000,-1,2246,2303,-17,B6,65,N527JB,JFK,ABQ,266,1826,20,0,02-12-2013 20:00
2013,12,3,2020,2001,19,2324,2304,20,B6,65,N535JB,JFK,ABQ,285,1826,20,1,03-12-2013 20:00
2013,12,4,2025,2001,24,2331,2304,27,B6,65,N637JB,JFK,ABQ,282,1826,20,1,04-12-2013 20:00
2013,12,5,2010,2001,9,2336,2304,32,B6,65,N562JB,JFK,ABQ,298,1826,20,1,05-12-2013 20:00
